#Displacement noise coupling G: Multiply G with the displacement noise spectrum of each mirror in m/sqrt(Hz) to get the strain equivalent DARM noise.
#freq,ETMX,ETMY,ITMX,ITMY,BS,PRM,SRM
1.0496,0.00032662,0.00034005,2.3193e-05,0.00064212,0.00049587,4.7116e-05,0.00065271
1.0642,0.00032698,0.00033969,4.0059e-05,0.0006254,0.00046495,4.1793e-05,0.00061448
1.079,0.00032732,0.00033935,5.5585e-05,0.00061,0.00043691,3.7174e-05,0.0005796
1.0941,0.00032763,0.00033904,6.9908e-05,0.00059579,0.00041139,3.3149e-05,0.00054765
1.1093,0.00032791,0.00033875,8.3158e-05,0.00058263,0.00038807,2.9626e-05,0.00051828
1.1247,0.00032818,0.00033849,9.5447e-05,0.00057041,0.00036668,2.6533e-05,0.00049122
1.1404,0.00032843,0.00033824,0.00010687,0.00055905,0.00034702,2.3807e-05,0.00046619
1.1563,0.00032866,0.00033801,0.00011752,0.00054845,0.00032887,2.1398e-05,0.000443
1.1724,0.00032887,0.00033779,0.00012746,0.00053855,0.00031209,1.9261e-05,0.00042145
1.1887,0.00032907,0.00033759,0.00013677,0.00052928,0.00029653,1.7362e-05,0.00040138
1.2053,0.00032926,0.0003374,0.00014549,0.00052059,0.00028207,1.567e-05,0.00038265
1.222,0.00032944,0.00033723,0.00015368,0.00051242,0.0002686,1.4159e-05,0.00036513
1.2391,0.00032961,0.00033706,0.00016138,0.00050474,0.00025603,1.2806e-05,0.00034873
1.2563,0.00032976,0.0003369,0.00016864,0.0004975,0.00024428,1.1592e-05,0.00033333
1.2738,0.00032991,0.00033675,0.00017548,0.00049067,0.00023327,1.0502e-05,0.00031886
1.2915,0.00033005,0.00033661,0.00018194,0.00048421,0.00022293,9.5206e-06,0.00030524
1.3095,0.00033019,0.00033648,0.00018806,0.00047811,0.00021322,8.6357e-06,0.0002924
1.3278,0.00033031,0.00033636,0.00019385,0.00047232,0.00020409,7.8366e-06,0.00028028
1.3463,0.00033043,0.00033624,0.00019933,0.00046684,0.00019547,7.114e-06,0.00026883
1.365,0.00033054,0.00033612,0.00020454,0.00046164,0.00018735,6.4598e-06,0.00025799
1.384,0.00033065,0.00033602,0.00020948,0.0004567,0.00017967,5.8667e-06,0.00024773
1.4033,0.00033075,0.00033591,0.00021418,0.000452,0.0001724,5.3285e-06,0.00023799
1.4228,0.00033085,0.00033582,0.00021865,0.00044752,0.00016552,4.8394e-06,0.00022875
1.4426,0.00033094,0.00033572,0.00022291,0.00044326,0.000159,4.3947e-06,0.00021997
1.4627,0.00033103,0.00033564,0.00022697,0.0004392,0.00015281,3.9899e-06,0.00021162
1.4831,0.00033111,0.00033555,0.00023085,0.00043533,0.00014693,3.6211e-06,0.00020367
1.5038,0.00033119,0.00033547,0.00023454,0.00043163,0.00014134,3.2849e-06,0.0001961
1.5247,0.00033127,0.0003354,0.00023807,0.0004281,0.00013602,2.9781e-06,0.00018889
1.5459,0.00033134,0.00033532,0.00024145,0.00042472,0.00013096,2.6981e-06,0.000182
1.5675,0.00033141,0.00033525,0.00024468,0.00042149,0.00012613,2.4423e-06,0.00017542
1.5893,0.00033148,0.00033518,0.00024777,0.0004184,0.00012152,2.2085e-06,0.00016914
1.6114,0.00033155,0.00033512,0.00025072,0.00041543,0.00011713,1.9947e-06,0.00016314
1.6339,0.00033161,0.00033506,0.00025356,0.0004126,0.00011293,1.7992e-06,0.00015739
1.6566,0.00033167,0.000335,0.00025628,0.00040988,0.00010892,1.6202e-06,0.0001519
1.6797,0.00033172,0.00033494,0.00025888,0.00040727,0.00010508,1.4565e-06,0.00014663
