# Transfer Function (TF) from vertical acceleration ground motion [m/s/s] to vertical TM motion [m] for ETMY suspension which has stucked GAS filters at F1, F2, F3.
# This TF is calculated by K.Miyo with "SuspensionModel/release/0.4". (https://github.com/gw-vis/SuspensionModel/tree/release/0.4)
# 
# Frequency[Hz], Magnitude[m/(m/s/s)], Phase[degree]
16.596,1.712e-10,-87.416
16.749,2.7106e-10,-88.169
16.904,3.3098e-10,-88.728
17.061,3.6913e-10,-89.133
17.219,3.9492e-10,-89.432
17.378,4.1373e-10,-89.654
17.539,4.2887e-10,-89.822
17.701,4.4254e-10,-89.949
17.865,4.5636e-10,-90.047
18.03,4.717e-10,-90.125
18.197,4.8984e-10,-90.19
18.365,5.1223e-10,-90.247
18.535,5.4065e-10,-90.305
18.707,5.7758e-10,-90.37
18.88,6.2676e-10,-90.453
19.055,6.9421e-10,-90.568
19.231,7.9058e-10,-90.739
19.409,9.3667e-10,-91.01
19.588,1.1796e-09,-91.48
19.77,1.6534e-09,-92.429
19.953,2.9518e-09,-95.091
20.137,1.705e-08,-126.89
20.324,3.701e-09,98.739
20.512,1.6511e-09,94.499
20.701,1.0375e-09,93.239
20.893,7.4493e-10,92.634
21.086,5.7494e-10,92.272
21.281,4.6471e-10,92.02
21.478,3.8804e-10,91.823
21.677,3.3211e-10,91.652
21.878,2.899e-10,91.488
22.08,2.5726e-10,91.32
22.284,2.3157e-10,91.138
22.491,2.1113e-10,90.934
22.699,1.9478e-10,90.699
22.909,1.8172e-10,90.424
23.121,1.7138e-10,90.098
23.335,1.634e-10,89.709
23.55,1.5753e-10,89.239
23.768,1.5365e-10,88.666
23.988,1.5175e-10,87.962
24.21,1.5195e-10,87.083
24.434,1.5453e-10,85.969
24.66,1.6001e-10,84.526
24.889,1.693e-10,82.604
25.119,1.8396e-10,79.949
25.351,2.0679e-10,76.093
25.586,2.4286e-10,70.098
